name,serving_size,energy_kcal,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,nutrition_score,label
Kacang tolo / tunggak,3.60 g,331.0,24.4,56.6,1.9,0.0,15.0,1.6,3.0,Kurang Sehat
Keripik tempe abadi besar,2.80 g,556.0,15.8,39.8,37.1,0.0,0.0,3.5,2.0,Sehat
Sunduk lawang,1 g,181.0,1.9,32.4,1.3,0.0,0.0,0.0,1.5,Sehat
Susu Ultra Milk Rasa coklat 1000 ml,8 g,45.0,8.0,30.0,5.0,24.0,55.0,0.0,4.5,Tidak Sehat
Padamaran,0.80 g,171.0,3.9,18.8,8.9,0.0,0.0,0.0,2.5,Kurang Sehat
Karawila,0.30 g,25.0,2.3,3.5,0.2,0.0,8.0,2.1,1.5,Sehat
Nutrisari Yuzu Orange,0 g,45.0,0.0,10.0,0.0,9.0,20.0,0.0,5.0,Tidak Sehat
Kue bangen,2.20 g,442.0,3.3,74.2,14.7,0.0,0.0,0.0,3.0,Kurang Sehat
Burger Carl's Jr the big carl,3 g,920.0,47.0,56.0,58.0,12.0,0.0,3.0,4.5,Tidak Sehat
Coklat manis batang,4.10 g,527.0,2.0,62.7,29.8,0.0,6.0,6.5,2.0,Sehat
Moon tahu,0.80 g,128.0,8.0,1.3,10.0,0.0,393.0,0.2,3.0,Kurang Sehat
Bakwan,2.10 g,280.0,8.2,39.0,10.2,0.0,0.0,3.4,2.0,Sehat
Roti boong,1 g,341.0,5.5,43.3,16.2,0.0,161.0,0.0,4.5,Tidak Sehat
nestle honey star sereal,1 g,110.0,1.0,25.0,1.0,0.0,10.0,0.0,3.0,Kurang Sehat
Es krim Wall's oreo chocolate,1 g,140.0,2.0,21.0,4.0,15.0,0.0,1.0,1.5,Sehat
Onde-onde,0.60 g,336.0,4.0,57.9,9.8,0.0,0.0,0.0,3.0,Kurang Sehat
Sarimi isi 2 ayam bawang,3 g,510.0,13.0,70.0,20.0,3.0,0.0,3.0,4.5,Tidak Sehat
Mie Kuah Gaga 100 Xtra Pedas  Jalapeno,9 g,120.0,9.0,43.0,13.0,2.0,1320.0,0.0,6.0,Tidak Sehat
Kin bulgarian style yogurt strawberry,4 g,35.0,4.0,29.0,3.5,27.0,50.0,0.0,5.5,Tidak Sehat
Lumai / leunca,Tidak Diketahui,0.5,38.0,1.1,7.6,0.3,0.0,2.0,0.5,Sehat
Keripik tempe abadi prima,2.60 g,540.0,16.7,42.0,33.9,0.0,0.0,2.2,2.0,Sehat
Hokben Chicken karaage,25 g,340.0,25.0,15.0,20.5,0.0,0.0,0.0,1.5,Sehat
Kwaci,3.70 g,515.0,30.6,13.8,42.1,0.0,124.0,13.6,4.0,Kurang Sehat
Sawo duren,0.60 g,64.0,1.0,8.0,3.1,0.0,13.0,0.8,1.5,Sehat
Subway Turkey breast sandwich,5 g,280.0,18.0,46.0,3.5,7.0,0.0,5.0,3.0,Kurang Sehat
Qtela Tempe,4 g,110.0,4.0,8.0,7.0,0.0,0.0,0.0,1.5,Sehat
Marie salut cokelat,1 g,90.0,1.0,13.0,3.5,6.0,35.0,0.0,5.0,Tidak Sehat
Nabati HANSEL,2 g,70.0,2.0,7.0,4.0,5.0,30.0,0.0,5.0,Tidak Sehat
Kacang panjang biji,0.40 g,357.0,17.3,68.6,1.5,0.0,16.0,10.6,3.0,Kurang Sehat
Koro roay,3 g,344.0,12.5,69.4,2.1,0.0,18.0,7.5,3.0,Kurang Sehat
Bolu peca,0.90 g,197.0,3.3,35.6,4.6,0.0,0.0,0.0,1.5,Sehat
air putih / air mineral / air minum,0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sehat
Mr. Bread Roti tawar gandum,2.50 g,199.0,7.0,36.0,3.0,2.0,487.0,2.5,5.5,Tidak Sehat
Wingko babat,0.70 g,355.0,3.2,51.4,15.1,0.0,0.0,2.4,2.0,Sehat
Permen frozz mint,0 g,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Sehat
Daun kecipir,Tidak Diketahui,1.0,52.0,5.0,8.5,0.5,0.0,6.0,0.5,Sehat
Frisian flag french vanilla low fat,7 g,110.0,7.0,16.0,2.5,16.0,110.0,0.0,4.0,Kurang Sehat
Cumi-cumi goreng,3.10 g,265.0,40.6,0.0,10.1,0.0,86.0,0.0,4.0,Kurang Sehat
Melinjo emping tipis goreng,1.50 g,485.0,11.5,59.1,24.5,0.0,0.0,0.0,2.0,Sehat
Beef teriyaki,0.90 g,151.0,8.6,22.3,3.1,0.0,377.0,0.3,1.5,Sehat
Saori Saus Tiram,0 g,5.0,0.0,2.0,0.0,0.0,290.0,0.0,2.5,Kurang Sehat
Duwet,Tidak Diketahui,0.5,80.0,0.5,18.2,0.6,0.0,16.0,3.0,Kurang Sehat
Mie Lemonilo ayam bawang,3 g,267.0,9.0,49.0,4.0,1.0,948.0,3.0,5.5,Tidak Sehat
Coklat pahit batang,10.10 g,615.0,5.5,29.2,42.6,0.0,20.0,10.8,4.5,Tidak Sehat
Supermi ayam Bawang,4 g,130.0,7.0,46.0,15.0,2.0,1030.0,4.0,6.0,Tidak Sehat
Coco pops,1 g,120.0,2.0,26.0,0.5,12.0,0.0,1.0,2.0,Sehat
Buah naga merah,Tidak Diketahui,0.4,71.0,1.7,9.1,3.1,0.0,10.0,3.0,Kurang Sehat
Ampas tahu kukus,0.60 g,75.0,4.1,10.7,2.1,0.0,0.0,5.1,-1.0,Sehat
Lepok / Ubi rumput,0.90 g,181.0,2.8,39.8,1.2,0.0,116.0,10.7,3.0,Kurang Sehat
Permen mentos peppermint,0 g,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Sehat
Pop mie kuah pedes dower,3 g,360.0,6.0,46.0,16.0,4.0,0.0,3.0,4.5,Tidak Sehat
Ketimun madura,Tidak Diketahui,0.4,9.0,0.5,1.9,0.1,0.0,2.0,-1.0,Sehat
Getuk goreng,1.50 g,360.0,1.3,74.3,6.4,0.0,0.0,0.8,2.0,Sehat
Laksa/Putu mayang,0.60 g,121.0,1.7,21.1,3.4,0.0,0.0,0.0,0.0,Sehat
Ultramilk law fat source of calcium,7 g,90.0,7.0,11.0,2.5,0.0,105.0,0.0,1.5,Sehat
Kacang urei,3.30 g,354.0,12.8,69.3,1.8,0.0,1.0,26.1,0.5,Sehat
Ganyong,Tidak Diketahui,0.9,77.0,0.6,18.4,0.2,0.0,0.0,0.5,Sehat
Keju,5.30 g,326.0,22.8,13.1,20.3,0.0,1410.0,0.0,4.0,Kurang Sehat
Sagu Lemak (Kue Sagon),0.70 g,452.0,2.8,76.8,14.8,0.0,182.0,1.1,4.5,Tidak Sehat
Masekat,0.80 g,369.0,2.1,74.1,7.0,0.0,141.0,4.0,4.5,Tidak Sehat
Coklat susu batang,1.40 g,565.0,9.0,53.6,35.0,0.0,100.0,3.4,4.5,Tidak Sehat
Es teh manis,0.02 g,90.0,0.02,23.44,0.0,0.0,0.0,0.0,0.5,Sehat
Keju cheddar,22.87 g,404.0,22.87,3.09,33.31,0.0,0.0,0.0,1.5,Sehat
Sawo kecik,1.40 g,111.0,0.9,21.6,2.3,0.0,28.0,1.0,1.5,Sehat
Keju kraft cheddar,4 g,70.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,Sehat
Starbucks hot caffe mocha (notfat milk),13 g,250.0,13.0,42.0,2.5,0.0,0.0,0.0,0.5,Sehat
Koya,0.80 g,366.0,4.2,77.5,4.3,0.0,0.0,0.8,0.5,Sehat
Mi golosor,0.20 g,71.0,0.2,15.9,0.8,0.0,0.0,0.1,0.0,Sehat
Good day cappuccino,1 g,170.0,1.0,32.0,3.5,25.0,0.0,1.0,3.0,Kurang Sehat
Kacang bogor kering,3 g,370.0,16.0,65.0,6.0,0.0,44.0,26.3,3.0,Kurang Sehat
Khong guan malkist seaweed,1 g,90.0,1.0,12.0,3.5,2.0,0.0,0.0,2.5,Kurang Sehat
Daun bluntas,Tidak Diketahui,2.3,44.0,1.8,9.4,0.5,0.0,0.0,0.5,Sehat
Pocari sweat,0 g,70.0,0.0,17.0,0.0,16.0,0.0,0.0,2.5,Kurang Sehat
Starbucks iced caffe latte (wholemilk),8 g,120.0,8.0,13.0,7.0,0.0,0.0,0.0,0.5,Sehat
Susu kental manis,1.80 g,343.0,8.2,55.0,10.0,0.0,150.0,0.0,4.5,Tidak Sehat
Royco sup krim ayam,2 g,50.0,2.0,9.0,1.0,2.0,710.0,0.0,5.0,Tidak Sehat
Snow skin lotus paste mooncake,1.16 g,187.0,2.12,26.36,8.04,0.0,0.0,1.16,2.0,Sehat
Adem sari herbal lemon,0 g,60.0,0.0,16.0,0.0,14.0,65.0,0.0,5.0,Tidak Sehat
Pucuk lumai / daun leunca,Tidak Diketahui,1.3,33.0,4.5,2.8,0.4,0.0,2.0,-1.0,Sehat
Wortel rebus,0.40 g,28.0,0.7,6.3,0.5,0.0,41.0,0.8,1.5,Sehat
Gekikara ramen 109 gram,6 g,160.0,9.0,74.0,18.0,4.0,1200.0,6.0,7.0,Tidak Sehat
Kopi Indocafe coffemix 3 in 1,1 g,90.0,1.0,17.0,2.0,13.0,0.0,0.0,2.5,Kurang Sehat
Sprite 390 ml,0 g,0.0,0.0,25.0,0.0,25.0,40.0,0.0,5.5,Tidak Sehat
Nutri boost orange,2 g,170.0,2.0,37.0,1.5,0.0,180.0,0.0,4.0,Kurang Sehat
Rempeyek kacang tanah,1.80 g,513.0,17.5,44.3,32.5,0.0,0.0,1.7,2.0,Sehat
Kacang merah / banda,3.20 g,350.0,13.9,66.9,3.0,0.0,19.0,26.3,3.0,Kurang Sehat
Mr. Bread Roti tawar choco chips,2 g,227.0,7.0,38.5,5.0,8.0,286.0,2.0,5.5,Tidak Sehat
Royco kaldu sapi,0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sehat
Frisian Flag kental manis kemasan ekonomis 560 gram,1 g,140.0,1.0,23.0,40.0,19.0,25.0,0.0,7.0,Tidak Sehat
Starbucks iced caffe latte (notfat milk),8 g,90.0,8.0,13.0,0.0,0.0,0.0,0.0,-1.0,Sehat
Starbucks hot caffe latte (notfat milk),13 g,130.0,13.0,20.0,0.0,0.0,0.0,0.0,-1.0,Sehat
Tempe kedelai murni goreng,1.80 g,350.0,24.5,10.4,26.6,0.0,22.0,4.2,4.0,Kurang Sehat
Chitato keripik kentang rasa original,1 g,100.0,1.0,12.0,5.0,0.0,60.0,0.0,2.5,Kurang Sehat
Whiskey,0 g,250.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,Sehat
Khong Guan Malkist abon,2 g,80.0,2.0,13.0,3.0,3.0,0.0,0.0,2.5,Kurang Sehat
Oreo,1 g,140.0,1.0,21.0,6.0,11.0,0.0,1.0,1.5,Sehat
kurma,20.53 g,282.0,2.45,75.03,0.39,0.0,2.0,7.99,0.5,Sehat
Nopia spesial,1.30 g,387.0,5.3,74.3,7.6,0.0,0.0,0.3,2.0,Sehat
Sedaap Tasty bakmi ayam geprek matah,6 g,190.0,14.0,81.0,21.0,2.0,870.0,6.0,7.0,Tidak Sehat
Sate bandeng,3.10 g,283.0,12.1,20.9,16.8,0.0,543.0,2.0,4.0,Kurang Sehat
Daun kemang,Tidak Diketahui,1.7,43.0,5.5,7.5,0.3,0.0,10.0,0.5,Sehat
Saus sambal ABC,0 g,28.0,0.0,6.0,0.0,5.0,0.0,0.0,2.5,Kurang Sehat
Coklat Hershey's kisses milk chocolate,0.10 g,22.0,0.3,2.8,1.3,2.6,0.0,0.1,2.5,Kurang Sehat
Chitato fresh potato,1 g,110.0,1.0,12.0,6.0,0.0,0.0,0.0,0.0,Sehat
Oncom ampas kacang hijau,1.70 g,376.0,14.9,65.7,6.0,0.0,0.0,12.3,0.5,Sehat
good day mocacino,1 g,90.0,1.0,16.0,2.0,13.0,10.0,1.0,4.0,Kurang Sehat
Lamtoro var. lokal dengan kulit,1.80 g,336.0,23.8,59.7,1.2,0.0,134.0,15.4,3.0,Kurang Sehat
Teh botol sosro original,0 g,140.0,0.0,34.0,0.0,32.0,0.0,0.0,3.0,Kurang Sehat
Daun leilem,Tidak Diketahui,1.8,76.0,2.8,15.8,0.2,0.0,6.0,0.5,Sehat
Mcdonald Mc double,2 g,380.0,23.0,34.0,18.0,7.0,0.0,2.0,4.5,Tidak Sehat
Keripik tempe abadi telur,2.90 g,529.0,20.8,40.2,31.7,0.0,0.0,3.0,2.0,Sehat
Keripik tempe abadi sedang,3.10 g,510.0,12.3,52.4,27.9,0.0,0.0,3.6,2.0,Sehat
Goodday Funtastic mocacinno,8 g,140.0,3.0,26.0,2.5,18.0,75.0,8.0,4.5,Tidak Sehat
lovamil minuman khusus ibu hamil dan menyusui rasa kacang hijau,8 g,160.0,8.0,25.0,3.0,0.0,135.0,0.0,3.0,Kurang Sehat
Wortel kukus,0.60 g,37.0,1.0,8.3,0.6,0.0,43.0,1.1,1.5,Sehat
Mie bendo,0.20 g,353.0,0.3,88.0,0.0,0.0,9.0,2.4,3.0,Kurang Sehat
Roma Marie Gold,2 g,90.0,2.0,15.0,3.0,4.0,0.0,0.0,2.5,Kurang Sehat
Supermi Extra Mie Goreng rasa Ayam pangsit,10 g,510.0,10.0,70.0,21.0,0.0,1130.0,0.0,4.5,Tidak Sehat
Buah mentega (Bisbul),Tidak Diketahui,0.4,39.0,0.7,9.7,0.2,0.0,1.0,0.5,Sehat
Mie sedap instan goreng kriuk,8 g,160.0,9.0,57.0,18.0,6.0,1170.0,8.0,7.0,Tidak Sehat
Ice Cone,0 g,190.0,5.0,32.0,4.5,24.0,0.0,0.0,3.0,Kurang Sehat
TOPOKI Mujigae,11 g,410.0,11.0,78.0,7.0,0.0,1390.0,0.0,4.5,Tidak Sehat
ABC EXO milk coffe,2 g,160.0,8.0,24.0,24.0,22.0,0.0,2.0,4.5,Tidak Sehat
Starbucks butter croissant,1 g,260.0,5.0,27.0,15.0,5.0,0.0,1.0,4.5,Tidak Sehat
Daun mengkudu,Tidak Diketahui,2.0,65.0,4.0,11.4,1.7,0.0,0.0,3.0,Kurang Sehat
Sagu sinole,0.10 g,354.0,0.8,68.9,8.3,0.0,30.0,0.0,5.5,Tidak Sehat
Nasi rames,0.60 g,155.0,10.3,19.1,4.2,0.0,265.0,0.0,1.5,Sehat
MAESTRO MAYONAISE,0 g,90.0,0.0,2.0,9.0,0.0,210.0,0.0,4.0,Kurang Sehat
Susu Ultra Milk Low Fat,7 g,90.0,7.0,11.0,2.5,0.0,105.0,0.0,1.5,Sehat
Ikan Baronang,Tidak Diketahui,1.2,78.0,14.5,3.7,0.6,0.0,26.0,1.5,Sehat
ROYCO BUMBU AYAM SAUS TELUR ASIN,1 g,30.0,1.0,2.0,1.5,0.0,50.0,0.0,2.5,Kurang Sehat
Keju parmesan,28.42 g,420.0,28.42,13.91,27.84,0.0,0.0,0.0,1.5,Sehat
Beras cerdas,2.60 g,350.0,2.7,82.3,1.1,0.0,358.0,6.2,3.0,Kurang Sehat
Indomie Goreng Rasa Rendang,3 g,150.0,9.0,59.0,16.0,9.0,1060.0,3.0,6.0,Tidak Sehat
Biokul plain yogurt,5 g,90.0,5.0,15.0,0.5,7.0,0.0,0.0,1.5,Sehat
Mr. Bread Roti tawar kupas,1.50 g,119.0,4.5,21.5,2.0,1.0,209.0,1.5,4.0,Kurang Sehat
Mcdonald Mcnugget,1 g,270.0,15.0,16.0,16.0,0.0,0.0,1.0,1.5,Sehat
Teh Kotak Rasa Lemon,0 g,100.0,0.0,23.0,0.0,20.0,25.0,0.0,5.5,Tidak Sehat
Jambu air,Tidak Diketahui,0.8,46.0,0.6,11.8,0.2,0.0,11.0,0.5,Sehat
SUN Bubur Bayi,4 g,160.0,4.0,31.0,2.5,0.0,100.0,0.0,4.0,Kurang Sehat
Getuk pisang,0.70 g,144.0,1.1,34.1,0.4,0.0,0.0,0.4,-0.5,Sehat
Lupis ketan,0.60 g,164.0,1.8,34.5,2.1,0.0,0.0,0.7,0.5,Sehat
Jambu monyet,Tidak Diketahui,0.3,64.0,0.7,15.8,0.6,0.0,12.0,3.0,Kurang Sehat
Kacang goyang,1.50 g,516.0,14.7,44.4,31.1,0.0,2.0,0.0,2.0,Sehat
Mie Sedaap Cup Mi Kuah Soto,7 g,370.0,8.0,48.0,16.0,2.0,1070.0,7.0,7.0,Tidak Sehat
Nutricake Brownies Coklat,2 g,160.0,2.0,33.0,2.5,0.0,90.0,0.0,4.0,Kurang Sehat
Starbucks caffe americano,1 g,15.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,Sehat
vanhouten cocoa powder,6 g,120.0,6.0,15.0,4.0,0.0,0.0,0.0,-1.0,Sehat
Bawang bombay,Tidak Diketahui,0.6,43.0,1.4,10.3,0.2,0.0,12.0,0.5,Sehat
Tepung Arrowroot,0.30 g,355.0,0.7,85.2,0.2,0.0,2.0,0.4,0.5,Sehat
Honey Stars,1 g,110.0,1.0,25.0,0.5,8.0,0.0,1.0,2.0,Sehat
Bagea kw 1,0.60 g,416.0,6.5,76.3,9.4,0.0,0.0,0.4,2.0,Sehat
Tepung Mocaf,1.30 g,350.0,1.2,85.0,0.6,0.0,8.0,6.0,3.0,Kurang Sehat
Indomie mi rendang,3 g,420.0,9.0,59.0,16.0,9.0,0.0,3.0,4.5,Tidak Sehat
Mangga harumanis,Tidak Diketahui,0.8,46.0,0.4,11.9,0.2,0.0,2.0,0.5,Sehat
Origo coffe es kopi susu,6.23 g,191.0,6.23,25.88,7.22,20.51,0.0,0.0,4.5,Tidak Sehat
Daun pare,Tidak Diketahui,1.6,49.0,2.7,8.4,1.0,0.0,7.0,3.0,Kurang Sehat
Mie Sedaap instan white curry,2 g,360.0,8.0,50.0,14.0,3.0,840.0,2.0,7.0,Tidak Sehat
Bantal,0.60 g,190.0,3.3,43.5,0.3,0.0,164.0,3.4,3.0,Kurang Sehat
Sarimi Gelas Rasa Soto Ayam,2 g,60.0,3.0,16.0,7.0,2.0,940.0,2.0,5.5,Tidak Sehat
MYTEA Teh Oolong 450 ml,0 g,0.0,0.0,18.0,0.0,0.0,20.0,0.0,2.5,Kurang Sehat
Kuaci Rebo green tea,2 g,110.0,6.0,2.0,9.0,1.0,180.0,2.0,5.5,Tidak Sehat
Nestle corn flakes,2 g,110.0,2.0,24.0,0.5,0.0,0.0,0.0,0.5,Sehat
Mi ABC cup soto ayam,4 g,280.0,7.0,34.0,13.0,2.0,0.0,4.0,4.5,Tidak Sehat
Kembang tahu,3.20 g,380.0,48.9,23.3,13.8,0.0,55.0,0.0,4.5,Tidak Sehat
Kacang sukro,2.70 g,484.0,8.8,57.7,26.1,0.0,0.0,1.8,2.0,Sehat
Susu dancow rasa coklat,5 g,160.0,5.0,23.0,6.0,0.0,100.0,0.0,3.0,Kurang Sehat
Starbucks cappuccino (wholemilk),7 g,140.0,7.0,12.0,7.0,0.0,0.0,0.0,0.5,Sehat
kopi seduh,0.74 g,5.0,0.74,0.42,0.0,0.0,0.0,0.0,0.0,Sehat
Cornetto Silverqueen,2 g,110.0,3.0,28.0,12.0,18.0,50.0,2.0,6.0,Tidak Sehat
Mie Lemonilo kari ayam,2 g,270.0,8.0,48.0,5.0,1.0,1036.0,2.0,5.5,Tidak Sehat
Bamboe Bumbu Rawon,1 g,15.0,1.0,2.0,1.5,1.0,1020.0,1.0,4.0,Kurang Sehat
Kacang mete/biji jambu monyet goreng,2.50 g,629.0,20.4,19.8,56.3,0.0,13.0,1.1,4.0,Kurang Sehat
Kotiu hinela tawang nggole,1.90 g,46.0,2.2,6.0,1.5,0.0,316.0,3.8,1.5,Sehat
Fruit Tea yuzu,0 g,220.0,0.0,54.0,0.0,50.0,0.0,0.0,4.0,Kurang Sehat
yuzu tea,0 g,140.0,0.0,34.0,0.0,0.0,20.0,0.0,3.0,Kurang Sehat
Keju Snow Brand Cheddar,5 g,100.0,5.0,2.0,8.0,0.0,360.0,0.0,3.0,Kurang Sehat
Sonice Chicken nugget,16 g,250.0,16.0,14.0,14.0,0.0,0.0,0.0,1.5,Sehat
KFC extra crispy paha bawah,10 g,170.0,10.0,5.0,12.0,0.0,0.0,0.0,1.5,Sehat
SUPERIOR Bihun Jagung urai,6 g,250.0,0.0,61.0,0.0,0.0,30.0,6.0,3.0,Kurang Sehat
Roti warna sawo matang,0.90 g,249.0,7.9,49.7,1.5,0.0,500.0,0.0,3.0,Kurang Sehat
Paria putih kukus,0.60 g,16.0,0.8,3.4,0.2,0.0,4.0,1.2,-1.0,Sehat
Daun jambu mente muda,Tidak Diketahui,0.7,78.0,4.6,16.2,0.5,0.0,14.0,0.5,Sehat
Burger double whopper,2 g,900.0,48.0,49.0,58.0,11.0,0.0,2.0,4.5,Tidak Sehat
Keripik tempe abadi murni,2.70 g,542.0,40.3,11.6,42.4,0.0,0.0,2.2,1.5,Sehat
Kerupuk kemplang panggang,3 g,356.0,9.7,76.9,1.1,0.0,0.0,1.0,0.5,Sehat
Woku ubi,1.10 g,143.0,3.1,15.0,7.8,0.0,353.0,7.0,3.0,Kurang Sehat
Fox's Fruits,0 g,15.0,0.0,4.0,0.0,3.0,0.0,0.0,2.5,Kurang Sehat
Keju greenfields ricotta,0 g,110.0,4.0,2.0,9.0,1.0,0.0,0.0,4.0,Kurang Sehat
Indomie goreng Jumbo,31 g,560.0,21.0,80.0,13.0,13.0,0.0,31.0,4.5,Tidak Sehat
Cimory Yogurt Squeeze Peach,2 g,70.0,2.0,11.0,2.0,0.0,60.0,0.0,2.5,Kurang Sehat
Melinjo emping tebal goreng manis,2.30 g,439.0,10.0,65.7,16.4,0.0,0.0,0.0,2.0,Sehat
Sagu lempeng,0.10 g,347.0,0.9,85.2,0.3,0.0,11.0,4.7,3.0,Kurang Sehat
Bamboe soto daging,1 g,5.0,1.0,2.0,0.5,1.0,730.0,1.0,4.0,Kurang Sehat
Saladstop Hail caesar w/o chicken,3.90 g,471.9,22.8,19.0,34.3,3.5,0.0,3.9,4.0,Kurang Sehat
Masako Kaldu Ayam,0 g,0.0,0.0,0.0,0.0,0.0,610.0,0.0,2.5,Kurang Sehat
Enting-enting gepuk hello kity,1 g,538.0,13.6,52.6,30.3,0.0,0.0,0.2,2.0,Sehat
Cimory Fresh Milk Cashew,10 g,260.0,10.0,33.0,9.0,0.0,140.0,0.0,4.5,Tidak Sehat
Outback steackhouse Victoria's Filet,53 g,320.0,53.0,0.0,12.0,0.0,0.0,0.0,1.5,Sehat
Kereput,1 g,580.0,4.8,51.1,39.6,0.0,0.0,0.0,2.0,Sehat
Kopi Indocafe cappuccino,2 g,110.0,2.0,19.0,3.0,14.0,0.0,0.0,2.5,Kurang Sehat
Rambutan binjai,0.30 g,76.0,0.5,18.0,0.2,0.0,22.0,3.8,1.5,Sehat
nestle sereal corn flakes,2 g,110.0,2.0,24.0,0.5,0.0,180.0,0.0,3.0,Kurang Sehat
Yangko,0.40 g,254.0,3.0,58.1,1.1,0.0,0.0,0.8,0.5,Sehat
Gurandil,1 g,218.0,0.5,48.5,2.5,0.0,0.0,3.1,0.5,Sehat
Kapusa,1 g,158.0,4.4,27.8,3.2,0.0,104.0,5.3,2.0,Sehat
Tumis bayam bersantan,0.60 g,48.0,1.4,2.6,4.2,0.0,0.0,0.5,-1.0,Sehat
Dodol Banjarmasin,1.50 g,368.0,2.6,70.0,8.6,0.0,48.0,0.5,4.5,Tidak Sehat
Mixed nut and Ham Mooncake,2.08 g,245.0,5.4,21.38,15.3,0.0,0.0,2.08,1.5,Sehat
Good time double choc,2 g,30.0,1.0,11.0,3.5,4.0,80.0,2.0,4.0,Kurang Sehat
Nestle Carnation (kental manis),1 g,100.0,1.0,17.0,3.0,16.0,0.0,0.0,2.5,Kurang Sehat
Bagea kelapa asin,1.30 g,450.0,3.2,78.1,13.9,0.0,74.0,0.0,5.5,Tidak Sehat
Yogurt greek heavenly blush honey,2 g,180.0,5.0,18.0,10.0,9.0,40.0,2.0,6.5,Tidak Sehat
Mie gaga,9 g,330.0,9.0,45.0,13.0,0.0,240.0,0.0,4.5,Tidak Sehat
Susu Ultra Rasa Strawberry,6 g,140.0,6.0,22.0,3.5,0.0,50.0,0.0,1.5,Sehat
Coklat bubuk,15.40 g,311.0,8.0,48.9,4.0,0.0,0.0,32.6,0.5,Sehat
Mcdonald Double cheeseburger,2 g,430.0,25.0,35.0,21.0,7.0,0.0,2.0,4.5,Tidak Sehat
WRP on the go (cokelat),6 g,150.0,7.0,24.0,3.0,16.0,0.0,6.0,2.0,Sehat
Ikan Gete goreng,12.60 g,267.0,23.1,0.2,19.4,0.0,590.0,0.0,4.0,Kurang Sehat
