name,serving_size,energy_kcal,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,label
Koro roay,3 g,344.0,12.5,69.4,2.1,0.0,18.0,7.5,Sehat
Bolu peca,0.90 g,197.0,3.3,35.6,4.6,0.0,0.0,0.0,Sehat
air putih / air mineral / air minum,0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sehat
Mr. Bread Roti tawar gandum,2.50 g,199.0,7.0,36.0,3.0,2.0,487.0,2.5,Sehat
Wingko babat,0.70 g,355.0,3.2,51.4,15.1,0.0,0.0,2.4,Kurang Sehat
Permen frozz mint,0 g,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Sehat
Daun kecipir,Tidak Diketahui,1.0,52.0,5.0,8.5,0.5,0.0,6.0,Sehat
Frisian flag french vanilla low fat,7 g,110.0,7.0,16.0,2.5,16.0,110.0,0.0,Kurang Sehat
Cumi-cumi goreng,3.10 g,265.0,40.6,0.0,10.1,0.0,86.0,0.0,Sehat
Melinjo emping tipis goreng,1.50 g,485.0,11.5,59.1,24.5,0.0,0.0,0.0,Kurang Sehat
Beef teriyaki,0.90 g,151.0,8.6,22.3,3.1,0.0,377.0,0.3,Sehat
Saori Saus Tiram,0 g,5.0,0.0,2.0,0.0,0.0,290.0,0.0,Kurang Sehat
Duwet,Tidak Diketahui,0.5,80.0,0.5,18.2,0.6,0.0,16.0,Sehat
Mie Lemonilo ayam bawang,3 g,267.0,9.0,49.0,4.0,1.0,948.0,3.0,Sehat
Coklat pahit batang,10.10 g,615.0,5.5,29.2,42.6,0.0,20.0,10.8,Kurang Sehat
Supermi ayam Bawang,4 g,130.0,7.0,46.0,15.0,2.0,1030.0,4.0,Kurang Sehat
Coco pops,1 g,120.0,2.0,26.0,0.5,12.0,0.0,1.0,Sehat
Buah naga merah,Tidak Diketahui,0.4,71.0,1.7,9.1,3.1,0.0,10.0,Sehat
Ampas tahu kukus,0.60 g,75.0,4.1,10.7,2.1,0.0,0.0,5.1,Sehat
Lepok / Ubi rumput,0.90 g,181.0,2.8,39.8,1.2,0.0,116.0,10.7,Sehat
Permen mentos peppermint,0 g,5.0,0.0,1.0,0.0,0.0,0.0,0.0,Sehat
Pop mie kuah pedes dower,3 g,360.0,6.0,46.0,16.0,4.0,0.0,3.0,Kurang Sehat
Ketimun madura,Tidak Diketahui,0.4,9.0,0.5,1.9,0.1,0.0,2.0,Sehat
Getuk goreng,1.50 g,360.0,1.3,74.3,6.4,0.0,0.0,0.8,Sehat
Laksa/Putu mayang,0.60 g,121.0,1.7,21.1,3.4,0.0,0.0,0.0,Sehat
Ultramilk law fat source of calcium,7 g,90.0,7.0,11.0,2.5,0.0,105.0,0.0,Sehat
Kacang urei,3.30 g,354.0,12.8,69.3,1.8,0.0,1.0,26.1,Sehat
Ganyong,Tidak Diketahui,0.9,77.0,0.6,18.4,0.2,0.0,0.0,Sehat
Keju,5.30 g,326.0,22.8,13.1,20.3,0.0,1410.0,0.0,Kurang Sehat
Sagu Lemak (Kue Sagon),0.70 g,452.0,2.8,76.8,14.8,0.0,182.0,1.1,Kurang Sehat
Masekat,0.80 g,369.0,2.1,74.1,7.0,0.0,141.0,4.0,Kurang Sehat
Coklat susu batang,1.40 g,565.0,9.0,53.6,35.0,0.0,100.0,3.4,Kurang Sehat
Es teh manis,0.02 g,90.0,0.02,23.44,0.0,0.0,0.0,0.0,Sehat
Keju cheddar,22.87 g,404.0,22.87,3.09,33.31,0.0,0.0,0.0,Kurang Sehat
Sawo kecik,1.40 g,111.0,0.9,21.6,2.3,0.0,28.0,1.0,Sehat
Keju kraft cheddar,4 g,70.0,4.0,2.0,5.0,0.0,0.0,0.0,Sehat
Starbucks hot caffe mocha (notfat milk),13 g,250.0,13.0,42.0,2.5,0.0,0.0,0.0,Sehat
Koya,0.80 g,366.0,4.2,77.5,4.3,0.0,0.0,0.8,Sehat
Mi golosor,0.20 g,71.0,0.2,15.9,0.8,0.0,0.0,0.1,Sehat
Good day cappuccino,1 g,170.0,1.0,32.0,3.5,25.0,0.0,1.0,Sehat
Kacang bogor kering,3 g,370.0,16.0,65.0,6.0,0.0,44.0,26.3,Sehat
Khong guan malkist seaweed,1 g,90.0,1.0,12.0,3.5,2.0,0.0,0.0,Sehat
Daun bluntas,Tidak Diketahui,2.3,44.0,1.8,9.4,0.5,0.0,0.0,Sehat
Pocari sweat,0 g,70.0,0.0,17.0,0.0,16.0,0.0,0.0,Kurang Sehat
Starbucks iced caffe latte (wholemilk),8 g,120.0,8.0,13.0,7.0,0.0,0.0,0.0,Sehat
Susu kental manis,1.80 g,343.0,8.2,55.0,10.0,0.0,150.0,0.0,Kurang Sehat
Royco sup krim ayam,2 g,50.0,2.0,9.0,1.0,2.0,710.0,0.0,Kurang Sehat
Snow skin lotus paste mooncake,1.16 g,187.0,2.12,26.36,8.04,0.0,0.0,1.16,Sehat
Adem sari herbal lemon,0 g,60.0,0.0,16.0,0.0,14.0,65.0,0.0,Kurang Sehat
Pucuk lumai / daun leunca,Tidak Diketahui,1.3,33.0,4.5,2.8,0.4,0.0,2.0,Sehat
Wortel rebus,0.40 g,28.0,0.7,6.3,0.5,0.0,41.0,0.8,Sehat
Gekikara ramen 109 gram,6 g,160.0,9.0,74.0,18.0,4.0,1200.0,6.0,Kurang Sehat
Kopi Indocafe coffemix 3 in 1,1 g,90.0,1.0,17.0,2.0,13.0,0.0,0.0,Kurang Sehat
Sprite 390 ml,0 g,0.0,0.0,25.0,0.0,25.0,40.0,0.0,Kurang Sehat
Nutri boost orange,2 g,170.0,2.0,37.0,1.5,0.0,180.0,0.0,Kurang Sehat
Rempeyek kacang tanah,1.80 g,513.0,17.5,44.3,32.5,0.0,0.0,1.7,Kurang Sehat
Kacang merah / banda,3.20 g,350.0,13.9,66.9,3.0,0.0,19.0,26.3,Sehat
Mr. Bread Roti tawar choco chips,2 g,227.0,7.0,38.5,5.0,8.0,286.0,2.0,Kurang Sehat
Royco kaldu sapi,0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sehat
Frisian Flag kental manis kemasan ekonomis 560 gram,1 g,140.0,1.0,23.0,40.0,19.0,25.0,0.0,Kurang Sehat
Starbucks iced caffe latte (notfat milk),8 g,90.0,8.0,13.0,0.0,0.0,0.0,0.0,Sehat
Starbucks hot caffe latte (notfat milk),13 g,130.0,13.0,20.0,0.0,0.0,0.0,0.0,Sehat
Tempe kedelai murni goreng,1.80 g,350.0,24.5,10.4,26.6,0.0,22.0,4.2,Kurang Sehat
Chitato keripik kentang rasa original,1 g,100.0,1.0,12.0,5.0,0.0,60.0,0.0,Sehat
Whiskey,0 g,250.0,0.0,0.1,0.0,0.0,0.0,0.0,Sehat
Khong Guan Malkist abon,2 g,80.0,2.0,13.0,3.0,3.0,0.0,0.0,Sehat
Oreo,1 g,140.0,1.0,21.0,6.0,11.0,0.0,1.0,Sehat
kurma,20.53 g,282.0,2.45,75.03,0.39,0.0,2.0,7.99,Sehat
Nopia spesial,1.30 g,387.0,5.3,74.3,7.6,0.0,0.0,0.3,Sehat
Sedaap Tasty bakmi ayam geprek matah,6 g,190.0,14.0,81.0,21.0,2.0,870.0,6.0,Kurang Sehat
Sate bandeng,3.10 g,283.0,12.1,20.9,16.8,0.0,543.0,2.0,Kurang Sehat
Daun kemang,Tidak Diketahui,1.7,43.0,5.5,7.5,0.3,0.0,10.0,Sehat
Saus sambal ABC,0 g,28.0,0.0,6.0,0.0,5.0,0.0,0.0,Kurang Sehat
Coklat Hershey's kisses milk chocolate,0.10 g,22.0,0.3,2.8,1.3,2.6,0.0,0.1,Sehat
Chitato fresh potato,1 g,110.0,1.0,12.0,6.0,0.0,0.0,0.0,Sehat
Oncom ampas kacang hijau,1.70 g,376.0,14.9,65.7,6.0,0.0,0.0,12.3,Sehat
good day mocacino,1 g,90.0,1.0,16.0,2.0,13.0,10.0,1.0,Sehat
Lamtoro var. lokal dengan kulit,1.80 g,336.0,23.8,59.7,1.2,0.0,134.0,15.4,Kurang Sehat
Teh botol sosro original,0 g,140.0,0.0,34.0,0.0,32.0,0.0,0.0,Kurang Sehat
Daun leilem,Tidak Diketahui,1.8,76.0,2.8,15.8,0.2,0.0,6.0,Sehat
Mcdonald Mc double,2 g,380.0,23.0,34.0,18.0,7.0,0.0,2.0,Kurang Sehat
Keripik tempe abadi telur,2.90 g,529.0,20.8,40.2,31.7,0.0,0.0,3.0,Kurang Sehat
Keripik tempe abadi sedang,3.10 g,510.0,12.3,52.4,27.9,0.0,0.0,3.6,Kurang Sehat
Goodday Funtastic mocacinno,8 g,140.0,3.0,26.0,2.5,18.0,75.0,8.0,Kurang Sehat
lovamil minuman khusus ibu hamil dan menyusui rasa kacang hijau,8 g,160.0,8.0,25.0,3.0,0.0,135.0,0.0,Sehat
Wortel kukus,0.60 g,37.0,1.0,8.3,0.6,0.0,43.0,1.1,Sehat
Mie bendo,0.20 g,353.0,0.3,88.0,0.0,0.0,9.0,2.4,Sehat
Roma Marie Gold,2 g,90.0,2.0,15.0,3.0,4.0,0.0,0.0,Sehat
Supermi Extra Mie Goreng rasa Ayam pangsit,10 g,510.0,10.0,70.0,21.0,0.0,1130.0,0.0,Kurang Sehat
Buah mentega (Bisbul),Tidak Diketahui,0.4,39.0,0.7,9.7,0.2,0.0,1.0,Sehat
Mie sedap instan goreng kriuk,8 g,160.0,9.0,57.0,18.0,6.0,1170.0,8.0,Kurang Sehat
Ice Cone,0 g,190.0,5.0,32.0,4.5,24.0,0.0,0.0,Sehat
TOPOKI Mujigae,11 g,410.0,11.0,78.0,7.0,0.0,1390.0,0.0,Kurang Sehat
ABC EXO milk coffe,2 g,160.0,8.0,24.0,24.0,22.0,0.0,2.0,Kurang Sehat
Starbucks butter croissant,1 g,260.0,5.0,27.0,15.0,5.0,0.0,1.0,Kurang Sehat
Daun mengkudu,Tidak Diketahui,2.0,65.0,4.0,11.4,1.7,0.0,0.0,Sehat
Sagu sinole,0.10 g,354.0,0.8,68.9,8.3,0.0,30.0,0.0,Kurang Sehat
Nasi rames,0.60 g,155.0,10.3,19.1,4.2,0.0,265.0,0.0,Sehat
MAESTRO MAYONAISE,0 g,90.0,0.0,2.0,9.0,0.0,210.0,0.0,Kurang Sehat
Susu Ultra Milk Low Fat,7 g,90.0,7.0,11.0,2.5,0.0,105.0,0.0,Sehat
Ikan Baronang,Tidak Diketahui,1.2,78.0,14.5,3.7,0.6,0.0,26.0,Sehat
ROYCO BUMBU AYAM SAUS TELUR ASIN,1 g,30.0,1.0,2.0,1.5,0.0,50.0,0.0,Sehat
Keju parmesan,28.42 g,420.0,28.42,13.91,27.84,0.0,0.0,0.0,Kurang Sehat
Beras cerdas,2.60 g,350.0,2.7,82.3,1.1,0.0,358.0,6.2,Kurang Sehat
Indomie Goreng Rasa Rendang,3 g,150.0,9.0,59.0,16.0,9.0,1060.0,3.0,Kurang Sehat
Biokul plain yogurt,5 g,90.0,5.0,15.0,0.5,7.0,0.0,0.0,Sehat
Mr. Bread Roti tawar kupas,1.50 g,119.0,4.5,21.5,2.0,1.0,209.0,1.5,Sehat
Mcdonald Mcnugget,1 g,270.0,15.0,16.0,16.0,0.0,0.0,1.0,Sehat
Teh Kotak Rasa Lemon,0 g,100.0,0.0,23.0,0.0,20.0,25.0,0.0,Kurang Sehat
Jambu air,Tidak Diketahui,0.8,46.0,0.6,11.8,0.2,0.0,11.0,Sehat
SUN Bubur Bayi,4 g,160.0,4.0,31.0,2.5,0.0,100.0,0.0,Kurang Sehat
Getuk pisang,0.70 g,144.0,1.1,34.1,0.4,0.0,0.0,0.4,Sehat
Lupis ketan,0.60 g,164.0,1.8,34.5,2.1,0.0,0.0,0.7,Sehat
Jambu monyet,Tidak Diketahui,0.3,64.0,0.7,15.8,0.6,0.0,12.0,Sehat
Kacang goyang,1.50 g,516.0,14.7,44.4,31.1,0.0,2.0,0.0,Kurang Sehat
Mie Sedaap Cup Mi Kuah Soto,7 g,370.0,8.0,48.0,16.0,2.0,1070.0,7.0,Kurang Sehat
Nutricake Brownies Coklat,2 g,160.0,2.0,33.0,2.5,0.0,90.0,0.0,Kurang Sehat
Starbucks caffe americano,1 g,15.0,1.0,3.0,0.0,0.0,0.0,0.0,Sehat
vanhouten cocoa powder,6 g,120.0,6.0,15.0,4.0,0.0,0.0,0.0,Sehat
Bawang bombay,Tidak Diketahui,0.6,43.0,1.4,10.3,0.2,0.0,12.0,Sehat
Tepung Arrowroot,0.30 g,355.0,0.7,85.2,0.2,0.0,2.0,0.4,Sehat
Honey Stars,1 g,110.0,1.0,25.0,0.5,8.0,0.0,1.0,Sehat
Bagea kw 1,0.60 g,416.0,6.5,76.3,9.4,0.0,0.0,0.4,Sehat
Tepung Mocaf,1.30 g,350.0,1.2,85.0,0.6,0.0,8.0,6.0,Sehat
Indomie mi rendang,3 g,420.0,9.0,59.0,16.0,9.0,0.0,3.0,Kurang Sehat
Mangga harumanis,Tidak Diketahui,0.8,46.0,0.4,11.9,0.2,0.0,2.0,Sehat
Origo coffe es kopi susu,6.23 g,191.0,6.23,25.88,7.22,20.51,0.0,0.0,Sehat
Daun pare,Tidak Diketahui,1.6,49.0,2.7,8.4,1.0,0.0,7.0,Sehat
Mie Sedaap instan white curry,2 g,360.0,8.0,50.0,14.0,3.0,840.0,2.0,Kurang Sehat
Bantal,0.60 g,190.0,3.3,43.5,0.3,0.0,164.0,3.4,Sehat
Sarimi Gelas Rasa Soto Ayam,2 g,60.0,3.0,16.0,7.0,2.0,940.0,2.0,Sehat
MYTEA Teh Oolong 450 ml,0 g,0.0,0.0,18.0,0.0,0.0,20.0,0.0,Sehat
Kuaci Rebo green tea,2 g,110.0,6.0,2.0,9.0,1.0,180.0,2.0,Sehat
Nestle corn flakes,2 g,110.0,2.0,24.0,0.5,0.0,0.0,0.0,Sehat
Mi ABC cup soto ayam,4 g,280.0,7.0,34.0,13.0,2.0,0.0,4.0,Kurang Sehat
Kembang tahu,3.20 g,380.0,48.9,23.3,13.8,0.0,55.0,0.0,Kurang Sehat
Kacang sukro,2.70 g,484.0,8.8,57.7,26.1,0.0,0.0,1.8,Kurang Sehat
Susu dancow rasa coklat,5 g,160.0,5.0,23.0,6.0,0.0,100.0,0.0,Sehat
Starbucks cappuccino (wholemilk),7 g,140.0,7.0,12.0,7.0,0.0,0.0,0.0,Sehat
kopi seduh,0.74 g,5.0,0.74,0.42,0.0,0.0,0.0,0.0,Sehat
Cornetto Silverqueen,2 g,110.0,3.0,28.0,12.0,18.0,50.0,2.0,Kurang Sehat
Mie Lemonilo kari ayam,2 g,270.0,8.0,48.0,5.0,1.0,1036.0,2.0,Sehat
Bamboe Bumbu Rawon,1 g,15.0,1.0,2.0,1.5,1.0,1020.0,1.0,Sehat
Kacang mete/biji jambu monyet goreng,2.50 g,629.0,20.4,19.8,56.3,0.0,13.0,1.1,Kurang Sehat
Kotiu hinela tawang nggole,1.90 g,46.0,2.2,6.0,1.5,0.0,316.0,3.8,Sehat
Fruit Tea yuzu,0 g,220.0,0.0,54.0,0.0,50.0,0.0,0.0,Kurang Sehat
yuzu tea,0 g,140.0,0.0,34.0,0.0,0.0,20.0,0.0,Sehat
Keju Snow Brand Cheddar,5 g,100.0,5.0,2.0,8.0,0.0,360.0,0.0,Sehat
Sonice Chicken nugget,16 g,250.0,16.0,14.0,14.0,0.0,0.0,0.0,Sehat
KFC extra crispy paha bawah,10 g,170.0,10.0,5.0,12.0,0.0,0.0,0.0,Sehat
SUPERIOR Bihun Jagung urai,6 g,250.0,0.0,61.0,0.0,0.0,30.0,6.0,Sehat
Roti warna sawo matang,0.90 g,249.0,7.9,49.7,1.5,0.0,500.0,0.0,Sehat
Paria putih kukus,0.60 g,16.0,0.8,3.4,0.2,0.0,4.0,1.2,Sehat
Daun jambu mente muda,Tidak Diketahui,0.7,78.0,4.6,16.2,0.5,0.0,14.0,Sehat
Burger double whopper,2 g,900.0,48.0,49.0,58.0,11.0,0.0,2.0,Kurang Sehat
Keripik tempe abadi murni,2.70 g,542.0,40.3,11.6,42.4,0.0,0.0,2.2,Kurang Sehat
Kerupuk kemplang panggang,3 g,356.0,9.7,76.9,1.1,0.0,0.0,1.0,Sehat
Woku ubi,1.10 g,143.0,3.1,15.0,7.8,0.0,353.0,7.0,Sehat
Fox's Fruits,0 g,15.0,0.0,4.0,0.0,3.0,0.0,0.0,Sehat
Keju greenfields ricotta,0 g,110.0,4.0,2.0,9.0,1.0,0.0,0.0,Sehat
Indomie goreng Jumbo,31 g,560.0,21.0,80.0,13.0,13.0,0.0,31.0,Kurang Sehat
Cimory Yogurt Squeeze Peach,2 g,70.0,2.0,11.0,2.0,0.0,60.0,0.0,Sehat
Melinjo emping tebal goreng manis,2.30 g,439.0,10.0,65.7,16.4,0.0,0.0,0.0,Kurang Sehat
Sagu lempeng,0.10 g,347.0,0.9,85.2,0.3,0.0,11.0,4.7,Sehat
Bamboe soto daging,1 g,5.0,1.0,2.0,0.5,1.0,730.0,1.0,Sehat
Saladstop Hail caesar w/o chicken,3.90 g,471.9,22.8,19.0,34.3,3.5,0.0,3.9,Kurang Sehat
Masako Kaldu Ayam,0 g,0.0,0.0,0.0,0.0,0.0,610.0,0.0,Kurang Sehat
Enting-enting gepuk hello kity,1 g,538.0,13.6,52.6,30.3,0.0,0.0,0.2,Kurang Sehat
Cimory Fresh Milk Cashew,10 g,260.0,10.0,33.0,9.0,0.0,140.0,0.0,Sehat
Outback steackhouse Victoria's Filet,53 g,320.0,53.0,0.0,12.0,0.0,0.0,0.0,Kurang Sehat
Kereput,1 g,580.0,4.8,51.1,39.6,0.0,0.0,0.0,Kurang Sehat
Kopi Indocafe cappuccino,2 g,110.0,2.0,19.0,3.0,14.0,0.0,0.0,Kurang Sehat
Rambutan binjai,0.30 g,76.0,0.5,18.0,0.2,0.0,22.0,3.8,Sehat
nestle sereal corn flakes,2 g,110.0,2.0,24.0,0.5,0.0,180.0,0.0,Kurang Sehat
Yangko,0.40 g,254.0,3.0,58.1,1.1,0.0,0.0,0.8,Sehat
Gurandil,1 g,218.0,0.5,48.5,2.5,0.0,0.0,3.1,Sehat
Kapusa,1 g,158.0,4.4,27.8,3.2,0.0,104.0,5.3,Sehat
Tumis bayam bersantan,0.60 g,48.0,1.4,2.6,4.2,0.0,0.0,0.5,Sehat
Dodol Banjarmasin,1.50 g,368.0,2.6,70.0,8.6,0.0,48.0,0.5,Sehat
Mixed nut and Ham Mooncake,2.08 g,245.0,5.4,21.38,15.3,0.0,0.0,2.08,Sehat
Good time double choc,2 g,30.0,1.0,11.0,3.5,4.0,80.0,2.0,Sehat
Nestle Carnation (kental manis),1 g,100.0,1.0,17.0,3.0,16.0,0.0,0.0,Kurang Sehat
Bagea kelapa asin,1.30 g,450.0,3.2,78.1,13.9,0.0,74.0,0.0,Tidak Sehat
Yogurt greek heavenly blush honey,2 g,180.0,5.0,18.0,10.0,9.0,40.0,2.0,Sehat
Mie gaga,9 g,330.0,9.0,45.0,13.0,0.0,240.0,0.0,Kurang Sehat
Susu Ultra Rasa Strawberry,6 g,140.0,6.0,22.0,3.5,0.0,50.0,0.0,Sehat
Coklat bubuk,15.40 g,311.0,8.0,48.9,4.0,0.0,0.0,32.6,Sehat
Mcdonald Double cheeseburger,2 g,430.0,25.0,35.0,21.0,7.0,0.0,2.0,Kurang Sehat
WRP on the go (cokelat),6 g,150.0,7.0,24.0,3.0,16.0,0.0,6.0,Sehat
Ikan Gete goreng,12.60 g,267.0,23.1,0.2,19.4,0.0,590.0,0.0,Kurang Sehat
Lemon pepper (classic wings),1 g,180.0,15.0,1.0,13.0,0.0,0.0,1.0,Sehat
Kue jahe,1.30 g,425.0,1.6,84.6,8.8,0.0,0.0,1.2,Sehat
Susu Ultra Milk Full cream (kotak),8 g,150.0,8.0,12.0,8.0,0.0,0.0,0.0,Sehat
Kacang mete/biji jambu monyet,2 g,616.0,16.3,28.7,48.4,0.0,26.0,0.9,Kurang Sehat
Qtela tempe original,4 g,70.0,4.0,8.0,7.0,0.0,125.0,0.0,Kurang Sehat
Biji kopi,12.40 g,399.0,12.4,62.7,15.4,0.0,0.0,0.0,Kurang Sehat
Super Bubur dengan kuah kari,3 g,35.0,3.0,36.0,3.5,1.0,720.0,0.0,Kurang Sehat
Tepung hunkwe (pati kacang ijo),1 g,364.0,4.5,83.5,1.0,0.0,15.0,16.1,Sehat
Bakso,12.41 g,202.0,12.41,7.58,13.16,0.0,478.0,0.0,Kurang Sehat
Sirup Tropicana sirup slim sirup orange,0 g,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Sehat
Bagea kw 2,1.10 g,382.0,0.3,87.2,3.5,0.0,0.0,0.9,Sehat
Permen Mintz Duomint,0 g,0.0,0.0,2.0,0.0,2.0,0.0,0.0,Sehat
Morin Mixed fruit Jam,0 g,0.0,0.0,11.0,0.0,9.0,0.0,0.0,Kurang Sehat
.Heavenly Blush,4 g,90.0,2.0,15.0,2.5,5.0,0.0,4.0,Sehat
Eskrim paddle pop choco magma,1 g,70.0,1.0,12.0,2.5,8.0,0.0,1.0,Sehat
Susu ibu - ASI,0.20 g,62.0,1.5,7.0,3.2,0.0,15.0,0.0,Sehat
Starbucks hot caffe latte (whole milk),12 g,230.0,12.0,19.0,12.0,0.0,0.0,0.0,Sehat
Lays 14g,1 g,70.0,1.0,10.0,7.0,0.0,70.0,0.0,Kurang Sehat
Starbucks java chip frappuccino (wholemilk),7 g,350.0,7.0,68.0,5.0,0.0,0.0,0.0,Sehat
Bungkil kacang tanah,33.10 g,336.0,37.4,30.5,13.0,0.0,0.0,0.0,Kurang Sehat
Daun kol sawi,Tidak Diketahui,0.7,22.0,2.1,3.6,0.5,0.0,19.0,Sehat
Biskuit choco mania,1 g,100.0,1.0,14.0,4.5,7.0,0.0,0.0,Kurang Sehat
